image_key,ranSel_key,sample_order,camera,file,image_number,operation_id,platfrom,source_path,random_seed,sample_size,sample_base,scorable,quadrat,copied,dest_file,total_pairs,RanSelNo,OpsNo,ImageNo
014_0113,014_001,1,SCP,MRITC_SCP_IN2018_V06_014_20181125T030039Z_0113.JPG,113,IN2018_V06_014,MRITC,NA,2966,82,41,OS,FALSE,FALSE,P001_MRITC_SCP_IN2018_V06_014_20181125T030039Z_0113.JPG,163,1,14,113
022_0046,022_001,1,SCP,MRITC_SCP_IN2018_V06_022_20181126T042105Z_0046.JPG,46,IN2018_V06_022,MRITC,NA,5451,101,51,OS,FALSE,FALSE,P001_MRITC_SCP_IN2018_V06_022_20181126T042105Z_0046.JPG,201,1,22,46
012_0090,012_002,2,SCP,MRITC_SCP_IN2018_V06_012_20181124T232547Z_0090.JPG,90,IN2018_V06_012,MRITC,NA,7165,132,66,OS,FALSE,FALSE,P002_MRITC_SCP_IN2018_V06_012_20181124T232547Z_0090.JPG,263,2,12,90
013_0173,013_002,2,SCP,MRITC_SCP_IN2018_V06_013_20181125T023316Z_0173.JPG,173,IN2018_V06_013,MRITC,NA,7222,110,55,OS,FALSE,FALSE,P002_MRITC_SCP_IN2018_V06_013_20181125T023316Z_0173.JPG,219.5,2,13,173
020_0014,020_002,2,SCP,MRITC_SCP_IN2018_V06_020_20181126T002349Z_0014.JPG,14,IN2018_V06_020,MRITC,NA,2161,16,8,OS,FALSE,FALSE,P002_MRITC_SCP_IN2018_V06_020_20181126T002349Z_0014.JPG,32,2,20,14
021_0173,021_002,2,SCP,MRITC_SCP_IN2018_V06_021_20181126T024202Z_0173.JPG,173,IN2018_V06_021,MRITC,NA,4073,90,45,OS,FALSE,FALSE,P002_MRITC_SCP_IN2018_V06_021_20181126T024202Z_0173.JPG,180,2,21,173
014_0072,014_003,3,SCP,MRITC_SCP_IN2018_V06_014_20181125T025409Z_0072.JPG,72,IN2018_V06_014,MRITC,NA,2966,82,41,OS,FALSE,FALSE,P003_MRITC_SCP_IN2018_V06_014_20181125T025409Z_0072.JPG,163,3,14,72
022_0147,022_003,3,SCP,MRITC_SCP_IN2018_V06_022_20181126T045445Z_0147.JPG,147,IN2018_V06_022,MRITC,NA,5451,101,51,OS,FALSE,FALSE,P003_MRITC_SCP_IN2018_V06_022_20181126T045445Z_0147.JPG,201,3,22,147
012_0221,012_004,4,SCP,MRITC_SCP_IN2018_V06_012_20181124T234122Z_0221.JPG,221,IN2018_V06_012,MRITC,NA,7165,132,66,OS,FALSE,FALSE,P004_MRITC_SCP_IN2018_V06_012_20181124T234122Z_0221.JPG,263,4,12,221
013_0035,013_004,4,SCP,MRITC_SCP_IN2018_V06_013_20181125T021606Z_0035.JPG,35,IN2018_V06_013,MRITC,NA,7222,110,55,OS,FALSE,FALSE,P004_MRITC_SCP_IN2018_V06_013_20181125T021606Z_0035.JPG,219.5,4,13,35
015_0054,015_004,4,SCP,MRITC_SCP_IN2018_V06_015_20181125T051437Z_0054.JPG,54,IN2018_V06_015,MRITC,NA,3245,264,132,OS,FALSE,FALSE,P004_MRITC_SCP_IN2018_V06_015_20181125T051437Z_0054.JPG,527,4,15,54
020_0030,020_004,4,SCP,MRITC_SCP_IN2018_V06_020_20181126T002629Z_0030.JPG,30,IN2018_V06_020,MRITC,NA,2161,16,8,OS,FALSE,FALSE,P004_MRITC_SCP_IN2018_V06_020_20181126T002629Z_0030.JPG,32,4,20,30
021_0009,021_004,4,SCP,MRITC_SCP_IN2018_V06_021_20181126T021442Z_0009.JPG,9,IN2018_V06_021,MRITC,NA,4073,90,45,OS,FALSE,FALSE,P004_MRITC_SCP_IN2018_V06_021_20181126T021442Z_0009.JPG,180,4,21,9
014_0154,014_005,5,SCP,MRITC_SCP_IN2018_V06_014_20181125T030444Z_0154.JPG,154,IN2018_V06_014,MRITC,NA,2966,82,41,OS,FALSE,FALSE,P005_MRITC_SCP_IN2018_V06_014_20181125T030444Z_0154.JPG,163,5,14,154
022_0097,022_005,5,SCP,MRITC_SCP_IN2018_V06_022_20181126T043805Z_0097.JPG,97,IN2018_V06_022,MRITC,NA,5451,101,51,OS,FALSE,FALSE,P005_MRITC_SCP_IN2018_V06_022_20181126T043805Z_0097.JPG,201,5,22,97
012_0057,012_006,6,SCP,MRITC_SCP_IN2018_V06_012_20181124T232112Z_0057.JPG,57,IN2018_V06_012,MRITC,NA,7165,132,66,OS,FALSE,FALSE,P006_MRITC_SCP_IN2018_V06_012_20181124T232112Z_0057.JPG,263,6,12,57
013_0145,013_006,6,SCP,MRITC_SCP_IN2018_V06_013_20181125T023031Z_0145.JPG,145,IN2018_V06_013,MRITC,NA,7222,110,55,OS,FALSE,FALSE,P006_MRITC_SCP_IN2018_V06_013_20181125T023031Z_0145.JPG,219.5,6,13,145
015_0318,015_006,6,SCP,MRITC_SCP_IN2018_V06_015_20181125T055037Z_0318.JPG,318,IN2018_V06_015,MRITC,NA,3245,264,132,OS,FALSE,FALSE,P006_MRITC_SCP_IN2018_V06_015_20181125T055037Z_0318.JPG,527,6,15,318
